© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;
;;;;;;;;;;;
Ergebnisse der Bundestagswahl 1965 nach kreisfreien Städten und Landkreisen – Zweitstimmen –;;;;;;;;;;;
(Die Briefwahl ist nicht in den Kreisergebnissen enthalten, sondern wurde extra ausgewiesen.);;;;;;;;;;;
;;;;;;;;;;;
Land;Lfd. Nr.;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;F.D.P.;Sonstige
06;236;Main-Taunus-Kreis;100027;81428;2023;79405;33283;35014;0;8773;2335
06;237;Oberlahnkreis;39952;32235;1346;30889;14977;11382;0;3839;691
06;238;Obertaunuskreis;80088;58308;708;57600;23942;23475;0;8572;1611
06;239;Rheingaukreis;40441;33651;900;32751;11210;17965;0;2616;960
06;240;Schlüchtern;29439;24761;1015;23746;10186;9408;0;3568;584
06;241;Untertaunuskreis;41638;33646;975;32671;14098;11711;0;5064;1798
06;242;Usingen;20285;15929;652;15277;7396;5364;0;2132;385
06;243;Wetzlar;103425;87481;3130;84351;42622;26051;0;11114;4564
07;244;Koblenz, Stadt;69323;53003;991;52012;19661;25815;0;5169;1367
07;245;Ahrweiler;60907;50469;1371;49098;9494;35325;0;3526;753
07;246;Altenkirchen (Westerwald);78586;66125;1216;64909;20961;36971;0;6037;940
07;247;Birkenfeld;63079;49212;1511;47701;22657;14535;0;7912;2597
07;248;Cochem;31175;26383;1043;25340;4141;19538;0;1451;210
07;249;Koblenz;55431;45847;866;44981;16442;24686;0;3075;778
07;250;Kreuznach;90278;74062;2059;72003;31713;28113;0;9849;2328
07;251;Mayen;84141;70462;1762;68700;21545;42291;0;3856;1008
07;252;Neuwied;97839;81274;1685;79589;30535;39692;0;7993;1369
07;253;Sankt Goar;35396;29370;563;28807;7220;18849;0;2274;464
07;254;Simmern;28338;23419;627;22792;6986;10550;0;4817;439
07;255;Zell (Mosel);24679;19866;846;19020;4524;11716;0;2391;389
07;256;Trier, Stadt;59412;45249;928;44321;16036;22958;0;4163;1164
07;257;Bernkastel;37623;30294;1481;28813;6669;18194;0;3365;585
07;258;Bitburg;36846;30635;1154;29481;5924;20763;0;2453;341
07;259;Daun;28040;23505;679;22826;3688;17455;0;1428;255
07;260;Prüm;25758;21463;729;20734;3034;16193;0;1322;185
07;261;Saarburg;30386;25725;864;24861;5959;16620;0;1916;366
07;262;Trier;61162;52190;1734;50456;13885;32485;0;3234;852
07;263;Wittlich;35405;29586;1031;28555;5384;20499;0;2214;458
07;264;Oberwesterwaldkreis;48316;40170;1583;38587;13595;20033;0;4079;880
07;265;Loreleykreis;39566;31706;871;30835;12234;14067;0;3845;689
07;266;Unterlahnkreis;41707;33441;998;32443;15530;11229;0;4519;1165
07;267;Unterwesterwaldkreis;54491;46336;1534;44802;13229;27269;0;3481;823
07;268;Mainz, Stadt;96619;77334;1412;75922;33087;31272;0;7551;4012
07;269;Worms, Stadt;44273;35381;838;34543;16267;12920;0;3054;2302
07;270;Alzey;41676;34334;769;33565;14420;10826;0;5251;3068
07;271;Bingen;51279;42067;948;41119;16059;17792;0;5586;1682
07;272;Mainz;49773;41831;1023;40808;17018;16892;0;4793;2105
07;273;Worms;33576;28291;835;27456;12499;9598;0;3262;2097
07;274;Frankenthal (Pfalz), Stadt;25119;20397;568;19829;9556;7899;0;1545;829
07;275;Kaiserslautern, Stadt;59939;45660;1091;44569;20100;15650;0;5317;3502
07;276;Landau in der Pfalz, Stadt;20526;15849;381;15468;5485;7028;0;1946;1009
07;277;Ludwigshafen am Rhein, Stadt;118848;90287;1890;88397;45260;32146;0;7070;3921
07;278;Neustadt an der Weinstraße, Stadt;22056;17284;444;16840;6591;7127;0;1971;1151
07;279;Pirmasens, Stadt;36482;28986;949;28037;11834;10864;0;3280;2059
07;280;Speyer, Stadt;27735;22123;620;21503;9187;9322;0;1880;1114
07;281;Zweibrücken, Stadt;23283;18626;604;18022;7745;6358;0;2634;1285
07;282;Bergzabern;31010;26049;889;25160;8609;11824;0;3372;1355
07;283;Frankenthal (Pfalz);39904;33978;1258;32720;15365;12591;0;2878;1886
07;284;Germersheim;53255;45431;1666;43765;14788;23377;0;4223;1377
07;285;Kaiserslautern;68041;56336;1940;54396;22078;23810;0;5399;3109
07;286;Kirchheimbolanden;23841;19822;846;18976;9572;6053;0;1822;1529
07;287;Kusel;50962;41893;1531;40362;22026;10639;0;3885;3812
07;288;Landau in der Pfalz;41113;34670;1233;33437;10059;17608;0;3820;1950
07;289;Ludwigshafen am Rhein;31304;26262;892;25370;12188;9751;0;2325;1106
07;290;Neustadt an der Weinstraße;67813;55407;1851;53556;21815;23097;0;5656;2988
07;291;Pirmasens;54359;47257;2300;44957;13695;26322;0;3605;1335
07;292;Rockenhausen;28320;22806;837;21969;10334;6677;0;3368;1590
07;293;Speyer;24606;20808;778;20030;6327;12393;0;902;408
07;294;Zweibrücken;20175;16666;927;15739;6465;6368;0;2011;895
08;295;Heilbronn, Stadt;64020;50959;1337;49622;21630;16280;0;8942;2770
08;296;Stuttgart, Landeshauptstadt;434204;324497;6765;317732;131566;113476;0;54972;17718
08;297;Ulm, Universitätsstadt;63746;49629;1452;48177;18050;20643;0;6480;3004
08;298;Aalen;96504;81424;2838;78586;21793;47535;0;7818;1440
08;299;Backnang;64580;50402;1864;48538;17079;20768;0;9034;1657
08;300;Böblingen;109426;87591;2309;85282;30835;41095;0;10079;3273
08;301;Crailsheim;43555;32554;1720;30834;7402;16025;0;6680;727
08;302;Esslingen;142347;114373;2698;111675;42480;50715;0;13423;5057
08;303;Göppingen;140684;115022;3130;111892;41211;52735;0;14600;3346
08;304;Heidenheim;80163;64670;1941;62729;21115;31666;0;6606;3342
08;305;Heilbronn;114888;94192;3747;90445;31658;35337;0;19944;3506
08;306;Künzelsau;20662;16880;584;16296;3390;9436;0;2779;691
08;307;Leonberg;73133;58405;1385;57020;21060;24975;0;8341;2644
08;308;Ludwigsburg;175530;140380;4611;135769;53646;53570;0;21626;6927
08;309;Mergentheim;27557;21885;894;20991;3636;13075;0;3542;738
08;310;Nürtingen;93664;76447;2210;74237;24820;35774;0;9121;4522
08;311;Öhringen;30189;23281;906;22375;5937;9873;0;4567;1998
08;312;Schwäbisch Gmünd;69120;56210;1513;54697;15543;29506;0;7965;1683
08;313;Schwäbisch Hall;40279;31462;1016;30446;8031;14152;0;7542;721
08;314;Ulm;57531;48013;1968;46045;11448;28433;0;4541;1623
08;315;Vaihingen;53417;42282;1410;40872;14639;17645;0;6996;1592
08;316;Waiblingen;141292;112754;2736;110018;39618;45294;0;20793;4313
08;317;Heidelberg, Stadt;84845;63311;1548;61763;23379;27610;0;7868;2906
