© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ergebnisse der Bundestagswahl 1969 nach kreisfreien Städten und Landkreisen – Zweitstimmen –;;;;;;;;;;;;;
;;;;;;;;;;;;;
Land;Lfd. Nr.;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;F.D.P.;NPD;ADF;Sonstige
08;280;Stuttgart, Landeshauptstadt;409832;346164;4304;341860;160303;130405;0;33834;13504;2705;1109
08;281;Ulm, Universitätsstadt;61925;52195;864;51331;22035;22074;0;4055;2737;301;129
08;282;Aalen;97274;85691;2458;83233;25486;50004;0;4596;2756;246;145
08;283;Backnang;67084;55064;1462;53602;19968;23827;0;5879;3506;205;217
08;284;Böblingen;120477;104879;1707;103172;42086;49191;0;7421;3921;323;230
08;285;Crailsheim;43499;34444;1205;33239;8564;17456;0;4577;2477;99;66
08;286;Esslingen;149074;129922;2007;127915;53309;60299;0;8197;4853;768;489
08;287;Göppingen;142200;123132;2215;120917;47480;58139;0;9500;4422;396;980
08;288;Heidenheim;80708;69251;1523;67728;26843;33184;0;4165;3055;339;142
08;289;Heilbronn;119133;102448;2696;99752;38713;44434;0;10547;5561;298;199
08;290;Künzelsau;20588;17788;479;17309;4137;9841;0;1954;1309;45;23
